plantID	tillerID	leafID	position	extraID	x1	y1	z1	x2	y2	z2	x3	y3	z3	NpArea	Kt	Kr	facetS	6h_up_dir	6h_up_dff	6h_up_scat	6h_bottom_dir	6h_bottom_dff	6h_bottom_scat	6h_totalPPFD	
1.0	1.0	0.0	3.0	0.0	1.93	0.0	2.82	2.9	0.27	2.66	2.9	0.0	2.82	0.45	0.0	0.078	0.1532	0.0	0.0	0.0	0.0	391.27	319.62	710.89
1.0	1.0	0.0	3.0	0.0	1.93	0.0	2.82	1.93	-0.27	2.66	2.9	0.0	2.82	0.45	0.0	0.078	0.1532	0.0	331.07	356.72	0.0	0.0	0.0	687.79
1.0	1.0	0.0	3.0	0.0	1.93	-0.27	2.66	2.9	0.0	2.82	2.9	-0.27	2.66	0.45	0.0	0.078	0.1532	0.0	0.0	0.0	0.0	451.46	397.88	849.3399999999999
1.0	1.0	0.0	3.0	0.0	1.93	-0.27	2.66	1.93	-0.27	2.34	2.9	-0.27	2.66	0.45	0.0	0.078	0.1528	0.0	120.69	450.0	0.0	0.0	0.0	570.69
1.0	1.0	0.0	3.0	0.0	1.93	-0.27	2.34	2.9	-0.27	2.66	2.9	-0.27	2.34	0.45	0.0	0.078	0.1528	0.0	0.0	0.0	0.0	90.52	415.95	506.47
1.0	1.0	0.0	3.0	0.0	1.93	-0.27	2.34	1.93	0.0	2.18	2.9	-0.27	2.34	0.45	0.0	0.078	0.1532	0.0	270.88	362.12	0.0	0.0	0.0	633.0
1.0	1.0	0.0	3.0	0.0	1.93	0.0	2.18	2.9	-0.27	2.34	2.9	0.0	2.18	0.45	0.0	0.078	0.1532	0.0	0.0	0.0	0.0	391.27	319.62	710.89
1.0	1.0	0.0	3.0	0.0	2.9	0.0	2.18	2.9	0.27	2.34	3.87	0.0	2.18	0.45	0.0	0.078	0.1532	0.0	346.12	303.13	0.0	0.0	0.0	649.26
1.0	1.0	0.0	3.0	0.0	2.9	0.27	2.34	3.87	0.0	2.18	3.87	0.27	2.34	0.45	0.0	0.078	0.1532	0.0	0.0	0.0	0.0	300.98	348.12	649.1
1.0	1.0	0.0	3.0	0.0	2.9	0.27	2.34	2.9	0.27	2.66	3.87	0.27	2.34	0.45	0.0	0.078	0.1528	0.0	120.69	398.51	0.0	0.0	0.0	519.21
1.0	1.0	0.0	3.0	0.0	2.9	0.27	2.66	3.87	0.27	2.34	3.87	0.27	2.66	0.45	0.0	0.078	0.1528	0.0	0.0	0.0	0.0	75.43	440.08	515.51
1.0	1.0	0.0	3.0	0.0	2.9	0.27	2.66	2.9	0.0	2.82	3.87	0.27	2.66	0.45	0.0	0.078	0.1532	0.0	270.88	346.69	0.0	0.0	0.0	617.5699999999999
1.0	1.0	0.0	3.0	0.0	2.9	0.0	2.82	3.87	0.27	2.66	3.87	0.0	2.82	0.45	0.0	0.078	0.1532	0.0	0.0	0.0	0.0	451.46	382.6	834.06
1.0	1.0	0.0	3.0	0.0	2.9	0.0	2.82	2.9	-0.27	2.66	3.87	0.0	2.82	0.45	0.0	0.078	0.1532	0.0	346.12	303.13	0.0	0.0	0.0	649.26
1.0	1.0	0.0	3.0	0.0	2.9	-0.27	2.66	3.87	0.0	2.82	3.87	-0.27	2.66	0.45	0.0	0.078	0.1532	0.0	0.0	0.0	0.0	300.98	348.12	649.1
1.0	1.0	0.0	3.0	0.0	2.9	-0.27	2.66	2.9	-0.27	2.34	3.87	-0.27	2.66	0.45	0.0	0.078	0.1528	0.0	120.69	398.51	0.0	0.0	0.0	519.21
1.0	1.0	0.0	3.0	0.0	2.9	-0.27	2.34	3.87	-0.27	2.66	3.87	-0.27	2.34	0.45	0.0	0.078	0.1528	0.0	0.0	0.0	0.0	75.43	440.08	515.51
1.0	1.0	0.0	3.0	0.0	2.9	-0.27	2.34	2.9	0.0	2.18	3.87	-0.27	2.34	0.45	0.0	0.078	0.1532	0.0	270.88	346.69	0.0	0.0	0.0	617.5699999999999
1.0	1.0	0.0	3.0	0.0	2.9	0.0	2.18	3.87	-0.27	2.34	3.87	0.0	2.18	0.45	0.0	0.078	0.1532	0.0	0.0	0.0	0.0	451.46	382.6	834.06
1.0	1.0	0.0	3.0	0.0	3.87	0.0	2.18	3.87	0.27	2.34	4.83	0.0	2.18	0.45	0.0	0.078	0.153	0.0	241.03	380.18	0.0	0.0	0.0	621.21
1.0	1.0	0.0	3.0	0.0	3.87	0.27	2.34	4.83	0.0	2.18	4.83	0.27	2.34	0.45	0.0	0.078	0.153	0.0	0.0	0.0	0.0	210.9	327.01	537.91
1.0	1.0	0.0	3.0	0.0	3.87	0.27	2.34	3.87	0.27	2.66	4.83	0.27	2.34	0.45	0.0	0.078	0.1526	0.0	135.92000000000002	375.02	0.0	0.0	0.0	510.94000000000005
1.0	1.0	0.0	3.0	0.0	3.87	0.27	2.66	4.83	0.27	2.34	4.83	0.27	2.66	0.45	0.0	0.078	0.1526	0.0	0.0	0.0	0.0	135.92	446.15	582.07
1.0	1.0	0.0	3.0	0.0	3.87	0.27	2.66	3.87	0.0	2.82	4.83	0.27	2.66	0.45	0.0	0.078	0.153	0.0	316.35	356.0	0.0	0.0	0.0	672.35
1.0	1.0	0.0	3.0	0.0	3.87	0.0	2.82	4.83	0.27	2.66	4.83	0.0	2.82	0.45	0.0	0.078	0.153	0.0	0.0	0.0	0.0	346.48	349.88	696.3599999999999
1.0	1.0	0.0	3.0	0.0	3.87	0.0	2.82	3.87	-0.27	2.66	4.83	0.0	2.82	0.45	0.0	0.078	0.153	0.0	241.03	380.18	0.0	0.0	0.0	621.21
1.0	1.0	0.0	3.0	0.0	3.87	-0.27	2.66	4.83	0.0	2.82	4.83	-0.27	2.66	0.45	0.0	0.078	0.153	0.0	0.0	0.0	0.0	210.9	327.01	537.91
1.0	1.0	0.0	3.0	0.0	3.87	-0.27	2.66	3.87	-0.27	2.34	4.83	-0.27	2.66	0.45	0.0	0.078	0.1526	0.0	135.92000000000002	375.02	0.0	0.0	0.0	510.94000000000005
1.0	1.0	0.0	3.0	0.0	3.87	-0.27	2.34	4.83	-0.27	2.66	4.83	-0.27	2.34	0.45	0.0	0.078	0.1526	0.0	0.0	0.0	0.0	135.92	446.15	582.07
1.0	1.0	0.0	3.0	0.0	3.87	-0.27	2.34	3.87	0.0	2.18	4.83	-0.27	2.34	0.45	0.0	0.078	0.153	0.0	316.35	356.0	0.0	0.0	0.0	672.35
1.0	1.0	0.0	3.0	0.0	3.87	0.0	2.18	4.83	-0.27	2.34	4.83	0.0	2.18	0.45	0.0	0.078	0.153	0.0	0.0	0.0	0.0	346.48	349.88	696.3599999999999
1.0	1.0	0.0	3.0	0.0	4.83	0.0	2.18	4.83	0.27	2.34	5.8	0.0	2.18	0.45	0.0	0.078	0.1532	0.0	285.93	342.03	0.0	0.0	0.0	627.95
1.0	1.0	0.0	3.0	0.0	4.83	0.27	2.34	5.8	0.0	2.18	5.8	0.27	2.34	0.45	0.0	0.078	0.1532	0.0	0.0	0.0	0.0	451.46	296.96000000000004	748.4200000000001
1.0	1.0	0.0	3.0	0.0	4.83	0.27	2.34	4.83	0.27	2.66	5.8	0.27	2.34	0.45	0.0	0.078	0.1528	0.0	135.78	416.68	0.0	0.0	0.0	552.45
1.0	1.0	0.0	3.0	0.0	4.83	0.27	2.66	5.8	0.27	2.34	5.8	0.27	2.66	0.45	0.0	0.078	0.1528	0.0	0.0	0.0	0.0	75.43	451.44	526.87
1.0	1.0	0.0	3.0	0.0	4.83	0.27	2.66	4.83	0.0	2.82	5.8	0.27	2.66	0.45	0.0	0.078	0.1532	0.0	210.68	309.47	0.0	0.0	0.0	520.16
1.0	1.0	0.0	3.0	0.0	4.83	0.0	2.82	5.8	0.27	2.66	5.8	0.0	2.82	0.45	0.0	0.078	0.1532	0.0	0.0	0.0	0.0	346.12	347.51	693.63
1.0	1.0	0.0	3.0	0.0	4.83	0.0	2.82	4.83	-0.27	2.66	5.8	0.0	2.82	0.45	0.0	0.078	0.1532	0.0	285.93	342.03	0.0	0.0	0.0	627.95
1.0	1.0	0.0	3.0	0.0	4.83	-0.27	2.66	5.8	0.0	2.82	5.8	-0.27	2.66	0.45	0.0	0.078	0.1532	0.0	0.0	0.0	0.0	451.46	296.96000000000004	748.4200000000001
1.0	1.0	0.0	3.0	0.0	4.83	-0.27	2.66	4.83	-0.27	2.34	5.8	-0.27	2.66	0.45	0.0	0.078	0.1528	0.0	135.78	416.68	0.0	0.0	0.0	552.45
1.0	1.0	0.0	3.0	0.0	4.83	-0.27	2.34	5.8	-0.27	2.66	5.8	-0.27	2.34	0.45	0.0	0.078	0.1528	0.0	0.0	0.0	0.0	75.43	451.44	526.87
1.0	1.0	0.0	3.0	0.0	4.83	-0.27	2.34	4.83	0.0	2.18	5.8	-0.27	2.34	0.45	0.0	0.078	0.1532	0.0	210.68	309.47	0.0	0.0	0.0	520.16
1.0	1.0	0.0	3.0	0.0	4.83	0.0	2.18	5.8	-0.27	2.34	5.8	0.0	2.18	0.45	0.0	0.078	0.1532	0.0	0.0	0.0	0.0	346.12	347.51	693.63
1.0	1.0	0.0	3.0	0.0	5.8	0.0	2.18	5.8	0.27	2.34	6.77	0.0	2.18	0.45	0.0	0.078	0.1532	0.0	285.93	298.78999999999996	0.0	0.0	0.0	584.71
1.0	1.0	0.0	3.0	0.0	5.8	0.27	2.34	6.77	0.0	2.18	6.77	0.27	2.34	0.45	0.0	0.078	0.1532	0.0	0.0	0.0	0.0	331.07	363.88	694.95
1.0	1.0	0.0	3.0	0.0	5.8	0.27	2.34	5.8	0.27	2.66	6.77	0.27	2.34	0.45	0.0	0.078	0.1528	0.0	75.43	408.09000000000003	0.0	0.0	0.0	483.52
1.0	1.0	0.0	3.0	0.0	5.8	0.27	2.66	6.77	0.27	2.34	6.77	0.27	2.66	0.45	0.0	0.078	0.1528	0.0	0.0	0.0	0.0	60.349999999999994	405.13	465.47
1.0	1.0	0.0	3.0	0.0	5.8	0.27	2.66	5.8	0.0	2.82	6.77	0.27	2.66	0.45	0.0	0.078	0.1532	0.0	376.22	366.04999999999995	0.0	0.0	0.0	742.27
1.0	1.0	0.0	3.0	0.0	5.8	0.0	2.82	6.77	0.27	2.66	6.77	0.0	2.82	0.45	0.0	0.078	0.1532	0.0	0.0	0.0	0.0	391.27	377.0	768.27
1.0	1.0	0.0	3.0	0.0	5.8	0.0	2.82	5.8	-0.27	2.66	6.77	0.0	2.82	0.45	0.0	0.078	0.1532	0.0	285.93	298.78999999999996	0.0	0.0	0.0	584.71
1.0	1.0	0.0	3.0	0.0	5.8	-0.27	2.66	6.77	0.0	2.82	6.77	-0.27	2.66	0.45	0.0	0.078	0.1532	0.0	0.0	0.0	0.0	331.07	363.88	694.95
1.0	1.0	0.0	3.0	0.0	5.8	-0.27	2.66	5.8	-0.27	2.34	6.77	-0.27	2.66	0.45	0.0	0.078	0.1528	0.0	75.43	408.09000000000003	0.0	0.0	0.0	483.52
1.0	1.0	0.0	3.0	0.0	5.8	-0.27	2.34	6.77	-0.27	2.66	6.77	-0.27	2.34	0.45	0.0	0.078	0.1528	0.0	0.0	0.0	0.0	60.349999999999994	405.13	465.47
1.0	1.0	0.0	3.0	0.0	5.8	-0.27	2.34	5.8	0.0	2.18	6.77	-0.27	2.34	0.45	0.0	0.078	0.1532	0.0	376.22	366.04999999999995	0.0	0.0	0.0	742.27
1.0	1.0	0.0	3.0	0.0	5.8	0.0	2.18	6.77	-0.27	2.34	6.77	0.0	2.18	0.45	0.0	0.078	0.1532	0.0	0.0	0.0	0.0	391.27	377.0	768.27
1.0	1.0	0.0	3.0	0.0	6.77	0.0	2.18	6.77	0.27	2.34	7.73	0.0	2.18	0.45	0.0	0.078	0.153	0.0	225.97	320.55	0.0	0.0	0.0	546.52
1.0	1.0	0.0	3.0	0.0	6.77	0.27	2.34	7.73	0.0	2.18	7.73	0.27	2.34	0.45	0.0	0.078	0.153	0.0	0.0	0.0	0.0	361.54	348.62	710.17
1.0	1.0	0.0	3.0	0.0	6.77	0.27	2.34	6.77	0.27	2.66	7.73	0.27	2.34	0.45	0.0	0.078	0.1526	0.0	45.3	444.14	0.0	0.0	0.0	489.45
1.0	1.0	0.0	3.0	0.0	6.77	0.27	2.66	7.73	0.27	2.34	7.73	0.27	2.66	0.45	0.0	0.078	0.1526	0.0	0.0	0.0	0.0	30.2	478.78	508.98
1.0	1.0	0.0	3.0	0.0	6.77	0.27	2.66	6.77	0.0	2.82	7.73	0.27	2.66	0.45	0.0	0.078	0.153	0.0	361.54	331.82000000000005	0.0	0.0	0.0	693.36
1.0	1.0	0.0	3.0	0.0	6.77	0.0	2.82	7.73	0.27	2.66	7.73	0.0	2.82	0.45	0.0	0.078	0.153	0.0	0.0	0.0	0.0	316.35	335.20000000000005	651.55
1.0	1.0	0.0	3.0	0.0	6.77	0.0	2.82	6.77	-0.27	2.66	7.73	0.0	2.82	0.45	0.0	0.078	0.153	0.0	225.97	320.55	0.0	0.0	0.0	546.52
1.0	1.0	0.0	3.0	0.0	6.77	-0.27	2.66	7.73	0.0	2.82	7.73	-0.27	2.66	0.45	0.0	0.078	0.153	0.0	0.0	0.0	0.0	361.54	348.62	710.17
1.0	1.0	0.0	3.0	0.0	6.77	-0.27	2.66	6.77	-0.27	2.34	7.73	-0.27	2.66	0.45	0.0	0.078	0.1526	0.0	45.3	444.14	0.0	0.0	0.0	489.45
1.0	1.0	0.0	3.0	0.0	6.77	-0.27	2.34	7.73	-0.27	2.66	7.73	-0.27	2.34	0.45	0.0	0.078	0.1526	0.0	0.0	0.0	0.0	30.2	478.78	508.98
1.0	1.0	0.0	3.0	0.0	6.77	-0.27	2.34	6.77	0.0	2.18	7.73	-0.27	2.34	0.45	0.0	0.078	0.153	0.0	361.54	331.82000000000005	0.0	0.0	0.0	693.36
1.0	1.0	0.0	3.0	0.0	6.77	0.0	2.18	7.73	-0.27	2.34	7.73	0.0	2.18	0.45	0.0	0.078	0.153	0.0	0.0	0.0	0.0	316.35	335.20000000000005	651.55
1.0	1.0	0.0	3.0	0.0	7.73	0.0	2.18	7.73	0.27	2.34	8.7	0.0	2.18	0.45	0.0	0.078	0.1532	0.0	346.12	355.53	0.0	0.0	0.0	701.65
